Month,Exchange,parameter,Trading_Days,IDX_CO,IDX_FUT,IDX_PO,STK_CO,STK_FUT,STK_PO,Total_Futures,Total_Options,Total_Derivatives
30/09/2012,BSE,Turnover,20,"1,89,450.42","4,515.54","1,11,161.76",18.26,46.08,127.29,"4,561.62","3,00,757.73","3,05,319.35"
30/09/2012,NSE,Contracts,20,"3,28,73,601.00","78,15,624.00","3,45,84,867.00","36,17,771.00","1,24,41,509.00","20,30,624.00","2,02,57,133.00","7,31,06,863.00","9,33,63,996.00"
30/09/2012,NSE,Premium Turnover,20,0,,0,0,,0,0,0,0
30/09/2012,NSE,Turnover,20,"9,31,514.37","2,06,910.13","9,39,077.54","1,07,683.05","3,49,877.40","56,886.01","5,56,787.53","20,35,160.97","25,91,948.50"
31/10/2012,BSE,Contracts,21,"67,30,201.00","1,27,788.00","75,38,171.00",877,"1,322.00","5,817.00","1,29,110.00","1,42,75,066.00","1,44,04,176.00"
31/10/2012,BSE,Premium Turnover,21,0,,0,0,,0,0,0,0
31/10/2012,BSE,Turnover,21,"1,97,740.78","3,635.67","2,09,278.55",22.89,39.89,127.58,"3,675.55","4,07,169.80","4,10,845.35"
31/10/2012,NSE,Contracts,21,"3,34,59,534.00","79,25,535.00","3,30,35,666.00","40,30,434.00","1,29,92,449.00","23,53,557.00","2,09,17,984.00","7,28,79,191.00","9,37,97,175.00"
31/10/2012,NSE,Premium Turnover,21,0,,0,0,,0,0,0,0
31/10/2012,NSE,Turnover,21,"9,78,239.57","2,16,004.01","9,29,356.07","1,31,361.47","3,88,103.34","71,145.01","6,04,107.35","21,10,102.12","27,14,209.47"
30/11/2012,BSE,Contracts,20,"66,20,444.00","79,823.00","1,26,68,686.00",717,459,"5,025.00","80,282.00","1,92,94,872.00","1,93,75,154.00"
30/11/2012,BSE,Premium Turnover,20,0,,0,0,,0,0,0,0
30/11/2012,BSE,Turnover,20,"1,92,301.21","2,274.28","3,51,868.45",17.7,13.24,107.33,"2,287.52","5,44,294.69","5,46,582.21"
