Month,Trades_in_Lakh,Traded_Quantity_in_Lakh,Turnover_in_Crore,ADT_Crore,Avg_Trade_Size,Traded_Quantity_in_DEMAT_in_Lakh,DEMAT_Turnover_in_Crore,Market_Cap_in_Crore,Sensex_Nifty_Close,Market_Cap_BSE_in_Crore,Nifty_Index,Sensex_Index
31/03/2021,"4,851.29","7,46,868.74","15,04,175.62","71,627.41","31,005.69","7,46,868.74","15,04,175.62","2,03,63,313.57","64,199.85","2,04,30,814.54","14,690.70","49,509.15"
30/04/2021,"4,264.87","5,66,705.46","14,13,566.23","74,398.23","33,144.42","5,66,705.46","14,13,566.23","2,06,29,838.70","63,413.46","2,07,02,706.49","14,631.10","48,782.36"
31/05/2021,"5,263.31","8,65,335.64","16,80,415.93","82,188.86","31,926.98","8,65,335.64","16,80,415.91","2,22,25,877.40","67,520.24","2,22,99,810.27","15,582.80","51,937.44"
30/06/2021,"5,854.13","10,48,946.52","17,04,639.50","77,483.62","29,118.58","10,48,946.52","17,04,639.48","2,28,96,264.92","68,204.21","2,29,77,769.25","15,721.50","52,482.71"
31/07/2021,"5,304.34","7,73,422.91","14,31,750.72","68,178.61","26,992.06","7,73,422.87","14,31,750.64","2,34,52,734.03","68,349.89","2,35,49,748.90","15,763.05","52,586.84"
31/08/2021,"5,072.00","6,82,636.63","14,30,572.12","68,122.48","28,205.29","6,82,636.63","14,30,572.12","2,49,15,131.00","74,684.59","2,50,02,084.01","17,132.20","57,552.39"
30/09/2021,"5,258.44","8,03,389.90","15,67,991.87","74,666.28","29,818.57","8,03,389.90","15,67,991.86","2,58,96,655.69","76,744.51","2,59,86,746.63","17,618.15","59,126.36"
31/10/2021,"6,005.49","7,80,157.78","17,60,945.39","88,047.27","29,322.26","7,80,157.78","17,60,945.39","2,58,29,120.30","76,978.58","2,59,20,458.07","17,671.65","59,306.93"
30/11/2021,"5,215.59","5,90,869.48","14,36,696.09","71,834.80","27,546.19","6,04,134.35","14,36,696.08","2,56,27,133.21","74,048.07","2,57,17,228.45","16,983.20","57,064.87"
31/12/2021,"5,194.62","8,58,916.42","13,30,632.06","57,853.57","25,615.58","8,58,916.42","13,30,632.05","2,65,01,395.50","75,607.87","2,66,00,211.55","17,354.05","58,253.82"
31/01/2022,"5,743.39","9,10,671.52","13,90,844.46","69,542.23","24,216.44","9,10,671.52","13,90,844.46","2,63,30,182.97","75,354.02","2,64,41,207.18","17,339.85","58,014.17"
28/02/2022,"5,125.25","6,74,083.75","12,65,092.23","63,254.61","24,683.52","6,74,083.75","12,65,092.23","2,51,46,312.80","73,041.18","2,52,39,045.09","16,793.90","56,247.28"
31/03/2022,"5,356.81","6,77,303.32","14,91,336.10","71,016.00","27,840.00","6,77,310.32","14,91,336.31","2,62,93,782.61","76,033.26","2,64,06,501.38","17,464.75","58,568.51"
30/04/2022,"5,029.49","6,85,274.03","13,93,072.56","73,319.61","27,698.09","6,85,274.03","13,93,072.56","2,65,78,583.51","74,163.42","2,66,97,882.22","17,102.55","57,060.87"
31/05/2022,"5,084.79","5,65,340.88","12,99,254.92","61,869.28","25,551.79","5,65,340.88","12,99,254.90","2,56,73,615.66","72,150.96","2,57,78,368.28","16,584.55","55,566.41"
30/06/2022,"4,256.07","4,85,877.70","10,44,028.04","47,455.82","24,530.33","4,85,877.70","10,44,028.03","2,42,88,528.57","68,799.19","2,43,73,732.88","15,780.25","53,018.94"
31/07/2022,"3,925.77","4,60,785.01","10,46,321.40","49,824.83","26,652.64","4,60,785.01","10,46,321.40","2,65,64,317.67","74,728.50","2,66,58,604.02","17,158.25","57,570.25"
