Month,NSEBANK Index,NSEIT Index,NSEAUTO Index,NSEFIN Index,NSEFMCG Index,NSEPSBK Index,NSEPHRM Index,NSEMET Index,NSEREAL Index,NSEPSE Index,NSEMDSM Index,DEFTY Index,NIFTYJR Index,NSE200 Index,INVIXN Index,NIFTYM50 Index,NSE100 Index,NIFTY Index,S&P500 Index,NIFTYTR Index,CPSE Index,NSECON Index,NIFTYS Index,NSEPBANK Index,NSEINFR Index,NSEAP Index,NSESRV Index,NSEMED Index,NSEMNC Index,NSECMD Index,NSEMNCTR Index,NSEPSUTR Index,BSESML Index,BSEMID Index,BSE500 Index
30/04/1962,,,,,,,,,,,,,,,,,,,65.24,,,,,,,,,,,,,,,,
31/03/1962,,,,,,,,,,,,,,,,,,,69.55,,,,,,,,,,,,,,,,
28/02/1962,,,,,,,,,,,,,,,,,,,69.96,,,,,,,,,,,,,,,,
31/01/1962,,,,,,,,,,,,,,,,,,,68.84,,,,,,,,,,,,,,,,
31/12/1961,,,,,,,,,,,,,,,,,,,71.55,,,,,,,,,,,,,,,,
30/11/1961,,,,,,,,,,,,,,,,,,,71.32,,,,,,,,,,,,,,,,
31/10/1961,,,,,,,,,,,,,,,,,,,68.62,,,,,,,,,,,,,,,,
30/09/1961,,,,,,,,,,,,,,,,,,,66.73,,,,,,,,,,,,,,,,
31/08/1961,,,,,,,,,,,,,,,,,,,68.07,,,,,,,,,,,,,,,,
31/07/1961,,,,,,,,,,,,,,,,,,,66.76,,,,,,,,,,,,,,,,
30/06/1961,,,,,,,,,,,,,,,,,,,64.64,,,,,,,,,,,,,,,,
31/05/1961,,,,,,,,,,,,,,,,,,,66.56,,,,,,,,,,,,,,,,
30/04/1961,,,,,,,,,,,,,,,,,,,65.31,,,,,,,,,,,,,,,,
31/03/1961,,,,,,,,,,,,,,,,,,,65.06,,,,,,,,,,,,,,,,
28/02/1961,,,,,,,,,,,,,,,,,,,63.44,,,,,,,,,,,,,,,,
31/01/1961,,,,,,,,,,,,,,,,,,,61.78,,,,,,,,,,,,,,,,
31/12/1960,,,,,,,,,,,,,,,,,,,58.11,,,,,,,,,,,,,,,,
30/11/1960,,,,,,,,,,,,,,,,,,,55.54,,,,,,,,,,,,,,,,
31/10/1960,,,,,,,,,,,,,,,,,,,53.39,,,,,,,,,,,,,,,,
30/09/1960,,,,,,,,,,,,,,,,,,,53.52,,,,,,,,,,,,,,,,
31/08/1960,,,,,,,,,,,,,,,,,,,56.96,,,,,,,,,,,,,,,,
31/07/1960,,,,,,,,,,,,,,,,,,,55.51,,,,,,,,,,,,,,,,
30/06/1960,,,,,,,,,,,,,,,,,,,56.92,,,,,,,,,,,,,,,,
31/05/1960,,,,,,,,,,,,,,,,,,,55.83,,,,,,,,,,,,,,,,
30/04/1960,,,,,,,,,,,,,,,,,,,54.37,,,,,,,,,,,,,,,,
31/03/1960,,,,,,,,,,,,,,,,,,,55.34,,,,,,,,,,,,,,,,
29/02/1960,,,,,,,,,,,,,,,,,,,56.12,,,,,,,,,,,,,,,,
31/01/1960,,,,,,,,,,,,,,,,,,,55.61,,,,,,,,,,,,,,,,
31/12/1959,,,,,,,,,,,,,,,,,,,59.89,,,,,,,,,,,,,,,,
30/11/1959,,,,,,,,,,,,,,,,,,,58.28,,,,,,,,,,,,,,,,
31/10/1959,,,,,,,,,,,,,,,,,,,57.52,,,,,,,,,,,,,,,,
30/09/1959,,,,,,,,,,,,,,,,,,,56.88,,,,,,,,,,,,,,,,
31/08/1959,,,,,,,,,,,,,,,,,,,59.6,,,,,,,,,,,,,,,,
31/07/1959,,,,,,,,,,,,,,,,,,,60.51,,,,,,,,,,,,,,,,
30/06/1959,,,,,,,,,,,,,,,,,,,58.47,,,,,,,,,,,,,,,,
31/05/1959,,,,,,,,,,,,,,,,,,,58.68,,,,,,,,,,,,,,,,
30/04/1959,,,,,,,,,,,,,,,,,,,57.59,,,,,,,,,,,,,,,,
31/03/1959,,,,,,,,,,,,,,,,,,,55.44,,,,,,,,,,,,,,,,
28/02/1959,,,,,,,,,,,,,,,,,,,55.41,,,,,,,,,,,,,,,,
31/01/1959,,,,,,,,,,,,,,,,,,,55.42,,,,,,,,,,,,,,,,
31/12/1958,,,,,,,,,,,,,,,,,,,55.21,,,,,,,,,,,,,,,,
30/11/1958,,,,,,,,,,,,,,,,,,,52.48,,,,,,,,,,,,,,,,
31/10/1958,,,,,,,,,,,,,,,,,,,51.33,,,,,,,,,,,,,,,,
30/09/1958,,,,,,,,,,,,,,,,,,,50.06,,,,,,,,,,,,,,,,
31/08/1958,,,,,,,,,,,,,,,,,,,47.75,,,,,,,,,,,,,,,,
31/07/1958,,,,,,,,,,,,,,,,,,,47.19,,,,,,,,,,,,,,,,
30/06/1958,,,,,,,,,,,,,,,,,,,45.24,,,,,,,,,,,,,,,,
31/05/1958,,,,,,,,,,,,,,,,,,,44.09,,,,,,,,,,,,,,,,
30/04/1958,,,,,,,,,,,,,,,,,,,43.44,,,,,,,,,,,,,,,,
31/03/1958,,,,,,,,,,,,,,,,,,,42.1,,,,,,,,,,,,,,,,
28/02/1958,,,,,,,,,,,,,,,,,,,40.84,,,,,,,,,,,,,,,,
31/01/1958,,,,,,,,,,,,,,,,,,,41.7,,,,,,,,,,,,,,,,
31/12/1957,,,,,,,,,,,,,,,,,,,39.99,,,,,,,,,,,,,,,,
30/11/1957,,,,,,,,,,,,,,,,,,,41.72,,,,,,,,,,,,,,,,
31/10/1957,,,,,,,,,,,,,,,,,,,41.06,,,,,,,,,,,,,,,,
30/09/1957,,,,,,,,,,,,,,,,,,,42.42,,,,,,,,,,,,,,,,
31/08/1957,,,,,,,,,,,,,,,,,,,45.22,,,,,,,,,,,,,,,,
31/07/1957,,,,,,,,,,,,,,,,,,,47.91,,,,,,,,,,,,,,,,
30/06/1957,,,,,,,,,,,,,,,,,,,47.37,,,,,,,,,,,,,,,,
31/05/1957,,,,,,,,,,,,,,,,,,,47.43,,,,,,,,,,,,,,,,
30/04/1957,,,,,,,,,,,,,,,,,,,45.74,,,,,,,,,,,,,,,,
31/03/1957,,,,,,,,,,,,,,,,,,,44.11,,,,,,,,,,,,,,,,
28/02/1957,,,,,,,,,,,,,,,,,,,43.26,,,,,,,,,,,,,,,,
31/01/1957,,,,,,,,,,,,,,,,,,,44.72,,,,,,,,,,,,,,,,
31/12/1956,,,,,,,,,,,,,,,,,,,46.67,,,,,,,,,,,,,,,,
30/11/1956,,,,,,,,,,,,,,,,,,,45.08,,,,,,,,,,,,,,,,
